Name,L,P,Mx,My,k,Section,Design
L1-C-1.1,4860,1292.33,0,0,1,HSS,
L1-C.1-1.1,4860,970.32,0,0,1,HSS,
L1-D-1.1,4860,356.29,0,0,1,HSS,
L1-A-2,4860,388.12,0,0,1,HSS,
L1-A.1-2,4860,993.1,0,0,1,HSS,
L1-B-2,4860,2152.28,0,0,1,HSS,
L1-C-2,4860,2185.52,0,0,1,HSS,
L1-C.1-2,4860,1115.79,0,0,1,HSS,
L1-D-2,4860,409.85,0,0,1,HSS,
L1-A-2.1,4860,465.54,0,0,1,HSS,
L1-A.1-2.1,4860,1191.72,0,0,1,HSS,
L1-B-2.1,4860,2582.81,0,0,1,HSS,
L1-C-2.1,4860,2622.62,0,0,1,HSS,
L1-C.1-2.1,4860,1339.11,0,0,1,HSS,
L1-D-2.1,4860,585.6,0,0,1,HSS,
L1-A-3.1,4860,495.82,0,0,1,HSS,
L1-A.1-3.1,4860,1269.22,0,0,1,HSS,
L1-B-3.1,4860,2310.18,0,0,1,HSS,
L1-C-3.1,4860,1898.71,0,0,1,HSS,
L1-C.1-3.1,4860,1426.07,0,0,1,HSS,
L1-D-3.1,4860,632.64,0,0,1,HSS,
L1-A-5,4860,260.04,0,0,1,HSS,
L1-A.1-5,4860,715.83,0,0,1,HSS,
L1-B-5,4860,1265.35,0,0,1,HSS,
L1-C-5,4860,1403.69,0,0,1,HSS,
L1-C.1-5,4860,1519.16,0,0,1,HSS,
L1-D-5,4860,647.79,0,0,1,HSS,
